match_id,duration,start_time,radiant_score,dire_score,radiant_win
5897012047,1558,1616213172,42,17,True
5896932279,2517,1616209209,44,20,True
5896874633,2195,1616205974,38,27,True
5896826192,1320,1616202722,29,12,True
5896799824,1364,1616200639,9,32,False
5896782193,1345,1616199323,7,32,False
5896744416,2287,1616196541,39,24,True
5896730191,2583,1616195052,27,41,False
5896685571,2303,1616192056,33,18,True
5896684110,947,1616191833,20,5,True
5896635696,1817,1616188574,17,31,False
5896550936,1947,1616184117,28,15,True
5895868559,2235,1616160828,28,11,True
5895743576,2661,1616156760,19,30,False
5895700637,3023,1616155329,38,32,True
5895631949,1579,1616153756,23,5,True
5895611559,2059,1616152169,18,32,False
5895571941,2051,1616150367,27,10,True
5895548305,2099,1616149438,14,33,False
5895485886,1837,1616146743,40,13,True
5895475198,1849,1616146007,7,28,False
5895474788,1122,1616146025,11,35,False
5895474021,2433,1616145822,36,20,True
5895422503,1900,1616143227,49,21,True
5895421242,1290,1616143224,3,27,False
5895415941,2214,1616142895,31,24,True
5895387228,1754,1616141670,17,21,False
5895383034,3300,1616141252,34,39,True
5895371421,1043,1616140743,5,20,False
5895330554,2327,1616139021,26,30,False
5895314378,2595,1616137680,40,34,True
5895297700,2416,1616136860,18,33,False
5895246595,2488,1616133882,30,15,True
5895246039,1571,1616133696,10,28,False
5895188753,2072,1616130105,38,22,True
5895042262,3024,1616120764,23,44,False
5894992053,1942,1616117119,45,28,True
5894973390,1770,1616115478,31,19,True
5894941655,2735,1616112619,28,36,False
5894933817,2199,1616111885,42,20,True
5894923413,2058,1616110857,26,40,False
5894898041,2214,1616108477,17,28,False
5894873238,2301,1616106613,31,16,True
5894855493,1140,1616104927,30,10,True
5894817379,1640,1616102195,8,22,False
5894739776,2506,1616097656,32,28,False
5893949377,3311,1616069978,42,36,True
5893820978,2801,1616065621,33,40,False
5893777659,1639,1616063707,21,34,False
5893732912,1655,1616061692,10,24,False
5893692282,2177,1616060157,38,26,True
5893691935,2392,1616059745,40,20,True
5893654430,1010,1616057847,21,2,True
5893654350,2418,1616058041,13,33,False
5893648269,3114,1616057544,0,0,True
5893629548,1980,1616056600,14,32,False
5893627645,3256,1616056502,0,0,True
5893605395,2291,1616055416,16,32,False
5893596244,1534,1616054983,13,20,False
5893573099,1796,1616053656,9,27,False
5893573006,1618,1616053768,41,18,True
5893551920,2348,1616052734,18,36,False
5893531138,2750,1616051469,42,43,True
5893521676,1535,1616050867,13,20,False
5893519396,1760,1616050672,50,15,True
5893465610,1692,1616047720,12,20,False
5893464454,2221,1616047459,31,35,True
5893464036,1460,1616047410,10,10,False
5893463219,2203,1616047403,43,19,True
5893462700,1504,1616047332,8,19,False
5893402442,2164,1616043825,41,22,True
5893395760,2170,1616043583,34,16,True
5893356160,1681,1616040899,13,30,False
5893299059,2098,1616037356,34,19,True
5893293082,2462,1616036788,59,31,True
5893289853,2681,1616036622,45,22,True
5893252425,1438,1616034109,40,13,True
5893248330,1283,1616033781,26,14,True
5893200883,1966,1616030139,23,43,False
5893195673,3063,1616029889,39,32,True
5893157595,2156,1616026096,32,45,False
5893157307,2464,1616025925,26,47,False
5893151134,2586,1616025334,24,40,False
5893123790,1781,1616022876,43,20,True
5893117284,1956,1616022165,16,38,False
5893108253,2430,1616021718,40,21,True
5893077230,2697,1616018797,39,31,True
5893049924,2467,1616016920,39,16,True
5892956169,3776,1616011218,51,39,True
5892416205,2862,1615990506,42,47,False
5892301593,2008,1615987156,34,14,True
5892145398,1799,1615982453,19,37,False
5892064828,2630,1615979397,29,23,True
5892061939,1767,1615979341,26,28,False
5892050068,2355,1615978825,23,41,False
5892033013,3140,1615978336,0,0,True
5891957556,2136,1615975009,19,43,False
5891954962,3087,1615974994,17,42,False
5891954105,2201,1615974575,24,34,False
5891879661,2254,1615970916,20,41,False
5900199468,1541,1616334530,20,54,False
5900140340,2072,1616333028,16,37,False
5900132935,2810,1616332843,26,60,False
5900077184,413,1616331355,0,10,False
5900008581,790,1616329496,29,1,True
5900001213,3201,1616329290,40,57,False
5899998011,1864,1616329205,37,27,True
5899991155,2367,1616329016,27,36,False
5899988009,580,1616328925,3,13,False
5899983844,1816,1616328803,38,11,True
5899974544,1991,1616328529,22,34,False
5899972903,1732,1616328480,42,19,True
5899858975,2061,1616325042,35,46,False
5899835282,1959,1616324197,25,15,True
5899830566,3091,1616324067,0,0,True
5899604520,1938,1616316349,27,30,True
5899518602,1547,1616313730,34,16,True
5899384855,2512,1616308955,32,51,False
5899323354,1117,1616306585,25,10,True
5899225790,2160,1616302832,33,30,True
5898957916,3185,1616288534,47,40,True
5898940915,2582,1616287208,36,39,True
5898927923,2736,1616286103,53,33,True
5898913679,1388,1616284952,11,34,False
5898888148,1556,1616282914,16,39,False
5898886534,1929,1616282750,29,13,True
5898877634,2599,1616282064,20,35,False
5898870017,1832,1616281572,19,46,False
5898833656,2131,1616279172,18,30,False
5898832732,1950,1616279080,38,25,True
5898818065,2239,1616278092,24,15,True
5898810067,1601,1616277600,36,17,True
5898743908,1671,1616273785,12,28,False
5898668888,1601,1616270461,33,13,True
5897756339,2120,1616241866,30,15,True
5897702660,2832,1616240269,36,28,True
5897659278,1664,1616238913,6,23,False
5897579759,2959,1616235891,40,30,False
5897577261,1640,1616235803,28,17,True
5897501085,2116,1616233022,54,27,True
5897496510,1615,1616232858,8,31,False
5897463627,2823,1616231520,46,30,True
5897431744,1516,1616230356,24,44,False
5897361527,1240,1616227812,33,14,True
5897360586,2391,1616227723,25,24,True
5897342168,3983,1616227050,47,57,True
5897272622,1548,1616224406,13,28,False
5897252505,2024,1616223738,15,35,False
5897236757,2222,1616222968,13,52,False
5897201300,2336,1616221513,28,42,False
5897174678,2405,1616220488,36,28,True
5897158098,1965,1616219740,41,16,True
5897156238,1524,1616220019,15,3,True
5897092998,3013,1616217049,27,35,False
5897082477,1498,1616216965,40,9,True
4900067404,1532,1562972002,31,8,True
4900038021,2477,1562969658,43,33,True
4899998031,3446,1562966909,28,49,False
4899990684,1533,1562966454,5,23,False
4899925007,2633,1562962475,15,21,False
4899910933,2715,1562961750,29,21,True
4899861791,1969,1562959124,28,20,True
4899849741,2759,1562958602,33,22,True
4899824721,2316,1562957394,16,26,False
4899794936,1472,1562955890,32,5,True
4899779076,1796,1562955231,18,15,True
4899720973,2529,1562952674,21,34,False
4899699117,1598,1562951811,24,8,True
4899678604,2590,1562951024,22,35,False
4899592719,1733,1562947997,15,45,False
4899564616,2504,1562947093,12,41,False
4899463423,1940,1562944098,52,16,True
4899420396,1930,1562942929,24,55,False
4899405483,2370,1562942542,34,32,False
4899381325,1397,1562941850,14,35,False
4899277798,2261,1562939098,27,11,True
4899237869,2569,1562938223,43,17,True
4899156839,1788,1562935990,37,6,True
4899109599,1982,1562934379,10,25,False
4899105947,1945,1562934320,32,10,True
4899031001,2215,1562932027,24,31,False
4898997090,1658,1562930757,4,23,False
4898963307,3082,1562929642,13,30,False
4898917433,2501,1562927868,36,41,False
4898874248,2020,1562926173,36,8,True
4898862653,3243,1562925762,39,34,True
4898778768,2085,1562922293,12,24,False
4898695323,2461,1562918639,17,46,False
4898694845,2417,1562918649,29,23,True
4898624985,1651,1562915532,9,34,False
4898620035,2008,1562915316,12,25,False
4898493690,2420,1562908858,23,12,True
4898481037,5492,1562908189,35,40,True
4898441612,1528,1562905960,27,4,True
4898433464,1460,1562905460,21,8,True
4898378888,2525,1562902115,13,29,False
4898352759,3499,1562900424,13,41,False
4898299070,2186,1562896818,27,14,True
4898286553,1399,1562895988,8,25,False
4898239550,3018,1562892248,29,19,True
4898232628,2154,1562891619,33,16,True
4898190830,2442,1562887642,5,25,False
4898154051,1835,1562884287,9,29,False
4898142287,2674,1562883281,28,14,True
4898118360,1430,1562881422,34,7,True
4898079807,2835,1562878796,16,26,False
4898062038,1703,1562877801,6,24,False
4898025525,1473,1562875474,39,12,True
4898007959,1925,1562874509,33,22,True
4897995859,1919,1562874006,37,22,True
4897970627,2567,1562872588,28,29,False
4897949339,2048,1562871396,14,27,False
4897942053,2699,1562871069,13,39,False
4897929043,2704,1562870443,37,19,True
4897929021,2264,1562870372,34,33,False
4897909227,2688,1562869476,25,39,False
4897880263,1955,1562868060,10,33,False
4897853305,2354,1562866772,10,25,False
4897840279,3357,1562866221,32,48,True
4897813481,3148,1562865076,35,40,False
4897799006,2844,1562864818,8,23,False
4897787211,1729,1562863905,29,6,True
4897749667,3006,1562862466,37,45,False
4897693892,2002,1562860426,30,14,True
4897632737,2683,1562858448,35,13,True
4897617647,790,1562857994,22,0,True
4897538425,1295,1562855738,40,13,True
4897531731,549,1562855543,10,3,True
4897433094,2795,1562853126,17,44,False
4897388384,2559,1562851790,13,34,False
4897350629,3103,1562850664,33,59,False
4897297200,2304,1562849185,36,23,True
4897289984,1418,1562849076,30,11,True
4897255057,4084,1562848047,47,28,True
4897243939,2172,1562847697,24,7,True
4897146193,2476,1562844660,19,27,False
4897146106,1732,1562844722,7,22,False
4897134944,2353,1562844262,23,49,False
4897082996,3780,1562842436,38,38,False
4897054383,2712,1562841361,24,35,False
4896998377,3269,1562839239,25,8,True
4896993477,2330,1562838909,9,23,False
4896898794,3614,1562834905,35,16,True
4896878842,2247,1562834074,25,15,True
4896782830,2138,1562830306,33,16,True
4896762736,3090,1562829410,34,32,False
4896667427,3239,1562824582,21,28,False
4896666985,1942,1562824581,10,28,False
4896604807,2233,1562821175,21,9,True
4896578554,2391,1562819762,20,14,True
4896537708,1923,1562817243,21,7,True
4896517067,2321,1562815866,31,30,True
4896489852,1663,1562814115,5,20,False
4896322388,2269,1562800333,26,17,True
4896277753,2306,1562796419,23,30,False
